"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2004","Get companies with various quantities","","Sun Jan 11 20:08:26 UTC 2026","passed","Sun Jan 11 20:08:28 UTC 2026","","Company Management API","Get companies with various quantities",""
"","1737","Get places with various quantities","","Sun Jan 11 20:09:40 UTC 2026","passed","Sun Jan 11 20:09:42 UTC 2026","","Place Management API","Get places with various quantities",""
"","2395","Verify default quantity returned for invalid quantity","","Sun Jan 11 20:11:01 UTC 2026","passed","Sun Jan 11 20:11:03 UTC 2026","","User Management API","Verify default quantity returned for invalid quantity",""
"","2298","Get texts with various quantities","","Sun Jan 11 20:10:24 UTC 2026","passed","Sun Jan 11 20:10:26 UTC 2026","","Text Content Management API","Get texts with various quantities",""
"","1155","Get addresses with various quantities","","Sun Jan 11 20:07:56 UTC 2026","passed","Sun Jan 11 20:07:58 UTC 2026","","Address Management API","Get addresses with various quantities",""
"","1234","Get books with various quantities","","Sun Jan 11 20:08:08 UTC 2026","passed","Sun Jan 11 20:08:09 UTC 2026","","Book Management API","Get books with various quantities",""
"","1671","Get persons with birthday boundary","","Sun Jan 11 20:09:26 UTC 2026","passed","Sun Jan 11 20:09:28 UTC 2026","","Person Management API","Get persons with birthday boundary",""
"","1046","Verify address data structure","","Sun Jan 11 20:07:59 UTC 2026","passed","Sun Jan 11 20:08:00 UTC 2026","","Address Management API","Verify address data structure",""
"","2352","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 20:10:59 UTC 2026","passed","Sun Jan 11 20:11:01 UTC 2026","","User Management API","Verify maximum quantity limit is capped at 1000",""
"","1586","Verify person address data","","Sun Jan 11 20:09:23 UTC 2026","passed","Sun Jan 11 20:09:24 UTC 2026","","Person Management API","Verify person address data",""
"","4335","Get addresses with default quantity","","Sun Jan 11 20:07:51 UTC 2026","passed","Sun Jan 11 20:07:55 UTC 2026","","Address Management API","Get addresses with default quantity",""
"","2413","Verify all books have required fields","","Sun Jan 11 20:08:11 UTC 2026","passed","Sun Jan 11 20:08:14 UTC 2026","","Book Management API","Verify all books have required fields",""
